num_checked,notes,user_id,resource_id,outstanding
1,"Checkout from 10/7/14, returned 6/18/15.",18,1731,0
1,"Checkout from 9/9/14, returned 6/18/15.",1,1731,0
1,"Checkout from 3/12/15, returned 6/17/15.",24,1823,0
1,checkout from 10/3/14,11,2030,1
1,checkout from 12/10/14,24,2030,1
25,"Checkout from 12/1/14, 24 returned 5/21/15, 1 outstanding.",44,1830,1
4,checkout from 11/18/14,8,1838,4
1,checkout from 11/18/14,4,1849,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,1890,0
1,"Checkout from 11/18/14, returned 6/18/15.",18,1929,0
1,"Checkout from 11/18/14, returned 6/17/15.",24,1975,0
20,"Checkout from 12/1/14, 19 returned 5/21/15, 1 outstanding.",44,1990,1
1,"Checkout from 11/18/14, returned 6/18/15.",18,1991,0
1,checkout from 2/9/15,18,2001,1
7,"Checkout from 11/18/14, 5 returned, 2 outstanding.",44,2012,2
